,0
2003_w41,0.6614285699999999
2003_w42,0.79268106
2003_w43,0.6390593000000001
2003_w44,0.63673154
2003_w45,0.74782877
2003_w46,0.9608725800000001
2003_w47,1.0432492999999998
2003_w48,1.05449561
2003_w49,1.11231323
2003_w50,1.41273571
2003_w51,1.72702814
2003_w52,2.40699968
2004_w1,3.1096225
2004_w2,4.30778939
2004_w3,4.8302971900000005
2004_w4,6.4290479
2004_w5,6.86734454
2004_w6,7.06495541
2004_w7,4.55115024
2004_w8,2.4183312200000002
2004_w9,1.8090559700000002
2004_w10,1.7120238500000002
2004_w11,1.54249511
2004_w12,1.43786826
2004_w13,1.3242739700000001
2004_w14,1.30725667
2004_w15,1.03697698
2004_w16,1.0103204399999999
2004_w17,1.05249248
2004_w18,1.02009007
2004_w19,0.92441872
2004_w20,0.79064503
2004_w21,0.8026097799999999
2004_w22,0.8361299900000001
2004_w23,0.7924358000000001
2004_w24,0.68358773
2004_w25,0.75745227
2004_w26,0.78858542
2004_w27,0.81217098
2004_w28,0.8044628899999999
2004_w29,0.8777009399999999
2004_w30,0.7414530100000001
2004_w31,0.66102222
2004_w32,0.7151092
2004_w33,0.56224123
2004_w34,0.78680822
2004_w35,0.86065785
2004_w36,0.6899439900000001
2004_w37,0.77969116
2004_w38,0.62814393
2004_w39,0.90245861
2004_w40,0.8064431700000001
2004_w41,0.87488776
2004_w42,0.9932130399999999
2004_w43,0.87614076
2004_w44,0.94809156
2004_w45,0.9269426199999999
2004_w46,0.971643
2004_w47,0.89715914
2004_w48,1.02248279
2004_w49,1.0629631800000001
2004_w50,1.14695698
2004_w51,1.20495007
2004_w52,1.3051655
2005_w1,1.2869916499999998
2005_w2,1.5946756200000003
2005_w3,1.39714318
2005_w4,1.44995673
2005_w5,1.61745446
2005_w6,2.19111921
2005_w7,2.5664893099999997
2005_w8,2.1764490899999998
2005_w9,2.2017120599999997
2005_w10,2.53012114
2005_w11,3.0652380999999997
2005_w12,3.9806083
2005_w13,4.59568026
2005_w14,4.75197055
2005_w15,4.17962064
2005_w16,3.45358511
2005_w17,3.15852237
2005_w18,2.67320103
2005_w19,2.35161041
2005_w20,1.8924284900000001
2005_w21,1.52490477
2005_w22,1.41134409
2005_w23,1.25068256
2005_w24,1.20702498
2005_w25,1.07895497
2005_w26,1.14520796
2005_w27,1.0612426299999997
2005_w28,1.05679774
2005_w29,1.25193098
2005_w30,1.01418935
2005_w31,1.04196928
2005_w32,0.95402737
2005_w33,0.84822989
2005_w34,0.8418715099999999
2005_w35,0.73089363
2005_w36,0.71343162
